DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.atsv.de/basketball/news/archiv/news1004.htm	e89dd9943e6f10b4426f94433549510d91be	107	In einer niveauarmen Begegnung zweier noch ungeschlagener Mannschaften der 2 . Regionalliga-Nord , hatten die Twisters dank einer	Fraudeckung	zunächst den besseren Start und gewannen das erste Viertel auch dank einer guten Trefferquote klar mit 19:11. Ab dem zweiten Viertel wurde die Schwäche der Twisters an diesem Tag aber immer deutlicher , denn trotz längenmäßiger Überlegenheit , konnte man sich unter den Körben so gut wie gar nicht in Szene setzen . Reihenweise wurden bereits vor der Halbzeit ( 31:25 ) beste Wurfchancen in der Zone versiebt und nur dank des Vorsprunges konnte man noch mit einer Führung in die Kabine gehen .	Sg	Ind	Frau	en	0
http://www.der-schweinische-bote.de/in/bloxperiment/comments/wechseljahre-und-klimakterium	ec41641d4e6f0d819facd177cc640ad9e3ea	12	Hiezu kommt noch die Idee , dass diese Senkungskraft eben derselbe Antrieb sei , der auf der Oberfläche des Hormonbehandlungen die Schwere genannt wird , und der von diesem sich stufenweise nach dem angeführten Gesetze mit den Enfernungen vermindert . Dieses ersieht man aus der Vergleichung der Quantität der Schwere auf der Oberfläche Erde mit der Kraft , die den Mond zum Mittlepunkte seines Kreises hintreibt , welche gegen einander eben so wie die Attraction in dem ganzen	Fraugebäude	, nämlich im umgekehrten Verhältniss des Quadrats der Entfernungen , ist . Dies ist die Ursache , warum man oftgemeldete Centralkraft auch die Gravität nennt .	Sg	Ind	Frau	en	0
http://qdvd.de/kom%C3%B6die/f/flu/fluten%20der%20leidenschaft/index.html	82b87c5d6c0137c3e92953300a045559c314	115	Zu dem Anlaß ihres Hundertsten Geburtstages freue ich mich , meinen Garbotext Wein aus dem Jahr 2000 wieder ( leicht überarbeitet ) in neue Schläuche füllen zu dürfen . Die Karriere der Garbo dauerte für damalige Hollywood Verhältnisse recht lange : 15 Jahre 1926 1941 , da hatte das Publikum sich an der schönen geheimnisvollen Schwedin sattgesehen und suchte nach einem neuen	Frautyp	. Greta Garbo ist in meinen Augen eine mystische und symbolistische Schönheit .	Sg	Ind	Frau	en	0
http://www.zum.de/Faecher/evR/bauer/archaics/global_samerika.htm	b7d7cd54a7b7df1b6cd52c7f03d45729307c	58	Daß er wie eine Frau war , ist natürlich metaphorisch zu verstehen . Für Don Juan zeigt sich diese	Frauähnlichkeit	in den Eigenschaften der Wirkungen auf den Zauberer : er war besitzergreifend , leidenschaftlich , unberechenbar und mit schädlicher Wirkung . Besitzergreifend dadurch , da der Verbündete den Lernenden " versklaven " konnte , indem er ihn mit überreichlicher Macht ausstattete und ihm körperliche Kraft verlieh .	Sg	Ind	Frau	en	0
http://paedpsych.jk.uni-linz.ac.at/INTERNET/TAGUNG/ABSTRACTS/Lehner.html	4a7375d4dd18bba3cf0cf254db4c95bd34d1	9	Parallel dazu wurde in wechselnden Arbeitsgruppen der Versuch unternommen , ein Qualitätshandbuch der an der BHAK / BHAS Vöcklabruck stattfindenden Prozesse nach CD 2 ISO 9001:2000 zu erheben und zu verfassen . Dieses Unterfangen wurde mit 30. April in einer ersten Handbuchversion abgeschlossen und das erfolgreiche Zertifizierungsaudit am 11. Mai krönte die Arbeit , die insgesamt in etwa 500 Mann /	Fraustunden	in Anspruch nahm . Das nunmehr vorliegende Handbuch wird allgemein nicht als Abschluss sondern als Startpunkt für einen kontinuierlichen Verbesserungsprozess gesehen & endash ; dh .	Pl	Ind	Frau	en	0
http://heerrufer.de/Kritik_%27Judith%27.htm	c09d6ee0012221c320b0e033d73950e9ddb0	147	Zwar verrät sie die Hebräer dem Mann , der die will , aber wichtiger ist ihr der Mann , den sie will . Das Erlebnis der	Frauwerdung	macht sie straucheln , sie taumelt in eine lächerliche Hysterie hinein , das Mitgemachte , das Erlebte lässt sie plötzlich völlig kopflos herumtorkeln , als sei die Welt für sie untergegangen , das bestimmt sie zum ihrerseitigen ' Kopflosmachen ' des Wunschmannes - aus persönlichen Rachegefühlen , er zeigte ihr die Grenze und die wollte sie nicht sehen . Dem ' Holofernes ' ähnlich , übt sie jetzt Macht aus , steigt auf , gewinnt durch " die Angst des Mannes vor der starken Frau " - der Frau mit der Waffe , köpft und tötete , verliert sich aber am Ende wie er , der sich gottähnlich fühlte , wo doch alle ihm ' nur kriechend nah ' n ' .	Sg	Ind	Frau	en	0
http://www.croehnchen-klub.de/wbb2/archive/124355/thread.html	39fa0f485b0439068f5a492575eb765359c3	11	Hallo Nadine Ich habe 1 / 2 Folsan 5 mg ab Schwangerschaftswunsch und dann bis nach der 12. SSW genommen . Viel Glück beim " Basteln " geisi Hallo Nadine , ich hab meinen Kinderwunsch bei meiner	Frauärztin	geäußert . Die hat mir dann ein Probe - päckchen mitgegeben .	Sg	Ind	Frau	en	0
http://www.frauenworte.de/vbforum/archive/index.php/t-33369.html	b194a6443d38660255c8282e7639d0153b31	36	Resultat war , da gehe ich dann zu diesen Ärzten einfach nicht mehr hin , ich bestimme selber über mich und muss mich nicht so arrogant behandeln lassen . Ich wünsche Dir viel Kraft und Erfolg beim suchen eines neuen GUTEN	Frauarztes	. Ich denke einfach mal , das Wichtigste beim einem guten Frauenarzt ( so sehe ich das ) ist das " sich Ernst genommen fühlen " .	Sg	Ind	Frau	en	0
http://www.ila-web.de/artikel/ila280/guatemala_machismo.htm	7d23eeeed8c541d366858bb72b81c946c00d	7	Auch will der Text dazu beitragen , über die Hintergründe des Femizids nachzudenken . Seit 2001 eine	Frauleiche	aufgefunden wurde , der man " muerte a las perras " ( " Tod den Huren " ) auf den Rücken geschrieben hatte , nehmen die Morde an Frauen in Guatemala stetig zu . Im laufenden Jahr 2004 wurden bis Mai bereits 200 ermordete Frauen registriert .	Sg	Ind	Frau	en	0
http://www.fritz-rudolf-koerper.de/homepage/content/2008/t_contentx2.php?pfad=.%2F%26inhalt=c_2008-06-24_w_islam.htm	f9391537c88408ca07b54e2329feecbecfb8	3	In Deutschland hat die Gemeinde etwa 30.000 Mitglieder , die auf lokale Gemeinden in etwa 180 Städten und Ortschaften verteilt sind , denen gewählte Präsidenten vorstehen . Die Frauen in der Gemeinde haben eine eigene	Frauorganisation	, mit selbst gewählten Präsidentinnen . Das Motto von AMJ lautet : " Liebe für alle , Hass für keinen " FRK und Carsten Pörksen MdL ( rechts ) beim Festakt 100 Jahre Khalifat in der Bad Kreuznacher Hauptschule Ringstraße FRK beim Grußwort : Wir sind zum Dialog über die Konfessionsgrenzen hinweg verpflichtet Der große Frieden fängt im Kleinen an Text : Dora Heli Du musst erst den Frieden finden , in dir selbst , ganz tief in dir Ausgeglichenheit empfinden , gibst du diese weiter hier auf Erden . Du musst lernen , mehr zu geben , statt zu nehmen , jederzeit . Menschen , die dem Jin Jang folgten , waren schon einmal so weit hier auf Erden .	Sg	Ind	Frau	en	0
