DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.sistrix.de/news/826-linkbuilding.html	1afa2515ae0688183b0f4e9cef8e137dd36a	135	Oder auf die Nutzer bewusst zugehen zu wollen . Oft sind die Themen	Kundenabsprache	, Marketing , Vertrieb , Contenterstellung etc. verteilt und keine einheitliche Strategie erkennbar . Schlussendlich wird man aber auch immer zeitkritische Kampagnen haben , die nicht auf eine freiwillige Verlinkung in der kürze der Zeit hoffen können .	Sg	Ind	Kunde	n	1
http://www.kostenlos.anzeigenbeamer.de/Computer_784/Apple_1094/Powermac-G4-AGP-400-MHz_13328.html	53fa9c3f24dbd49fea32846e275467a0af8d	44	Ihre Kunden gehen nur deswegen automatisch an den Hauptmarkt über , damit den Kunden kein Nachteil entsteht ( beispielsweise wenn Diese bei Ihnen eine Mitgliedsgebühr bezahlt haben ) und sie weiterhin den Dienst nutzen können . Sollten Sie dies absolut nicht wünschen , sollten Sie Ihre Kunden vor Ihrer Marktkündigung anschreiben und Ihnen mitteilen , dass Sie Ihren All in One Markt löschen lassen und sie nun die Gelegenheit haben Ihren	Kundenaccount	vorzeitig zu löschen . Alle Einnahmen , die Sie bis dahin generiert haben , dürfen Sie selbstverständlich behalten .	Sg	Ind	Kunde	n	1
http://www.immobilienscout24.de/anbieten/gewerbliche-anbieter/via/image-akquise/marktnavigator-profi.html;jsessionid=992D0DE789C9DB3AFB10FE4388A43781.worker0	2a63a056a88102830eed3ce158c8c67a691e	8	Zum Beispiel mit einer eigenen Suche mit speziellem Fokus auf Angebote von privaten Anbietern verschiedener Quellen . Wir nutzen das Tool hauptsächlich für die	Kundenakquise	. Jeder Verkäufer sieht sofort , dass bei uns geballtes Know-how und Marktwissen vorhanden ist - und genau das möchte und braucht heute ein Kunde .	Sg	Ind	Kunde	n	1
http://www.qualitaetsmanagement.bdu.de/fgqm_themen.html	ee52a8a3bb7605d89e49048363eff5130c6e	13	Daher scheint es gut geeignet , in den vielen heute schon prozessorientierten Unternehmen Themen wie Verantwortung der Leitung und kontinuierliche Verbesserung schneller zu intensivieren , da es nun explizite Anforderungen im QM-System sind . Das QM-System bezieht sich auf die Fähigkeit des Unternehmens , bezüglich der Produkte und / oder Dienstleistungen Konformität mit	Kundenanforderungen	zu erlangen . Angestrebt wird die Kundenzufriedenheit durch die Erüllung der Kundenanforderungen .	Pl	Ind	Kunde	n	1
http://www.jacotec.de/forum/archive/index.php/t-1719.html	2696b810f7afb5c1d03324e2671584db9667	29	Eine Signalisierung vom Comfort erfolgt nicht . Da es eine	Kundenanlage	ist , muß ich das mit der Gesprächsdatenerfassugn erst prüfen . Ich melde mich wieder .	Sg	Ind	Kunde	n	1
http://rsw.beck.de/cms/?toc=mmr.130%26docid=336894	04ca8ef40eab20ca2e8e5fdf8fc0a75ae92a	35	Die beschränkte bisherige Reichweite der Smart-TV-Geräte soll dabei noch nicht zu einer kurzfristigen Verdrängung der klassischen TV-Werbung führen . Über die Möglichkeit der direkten	Kundenansprache	wird es zusätzlich zu einer kleinteiligeren Gestaltung von Werbung kommen , die einen Mehrwert für den Endverbraucher bringen kann . Insgesamt wurde deutlich , dass für den Nutzer die Trennungslinie der einzelnen Auswertungsarten immer weiter aufgelöst wird .	Sg	Ind	Kunde	n	1
http://www.rmdata.at/news-detail.de.61.htm	88994e0bbbea9fe7b410f8d39defdb4c7c91	2	Mit der vollständigen Software-Ausstattung von rmDATA ist der Workflow in der Vermessung optimal abgedeckt . Wien Energie Gasnetz GmbH ist in Bezug auf	Kundenanzahl	und Durchleitungsmenge der größte Gasbetreiber Österreichs . Die Vermessungsabteilung des Unternehmens ist für die Vermessung der Leitungsdaten sowie für die Bestandsdokumentation des umfangreichen Leitungsnetzes zuständig .	Sg	Ind	Kunde	n	1
http://www.tt-board.de/forum/archive/index.php/t-12215.html	bc5b21286faf264b854fd347d9da656fbcb5	64	Die Anlage von Detlef Paul ist richtig toll . war das ein	Kundenauftrag	? Kann man die Anlage vielleicht besichtigen ?	Sg	Ind	Kunde	n	1
http://www.pure-host.de/software-lizenzen/parallels-plesk-produktinformationen/plesk-sitebuilder/sitebuilder-ueberblick.html	078576552ec9a5bde168b319ed4e2f54f14b	9	Diese zukunftsweisende Software kann in jeden Geschäftsprozess integriert werden . Plesk Sitebuilder ist das ideale Marketing-Tool , mit dem Sie Ihren Site-Traffic in eine neue	Kundenbasis	verwandeln . Parallels Plesk Sitebuilder enthält einen leicht bedienbaren 5 - Schritte-Assistenten .	Sg	Ind	Kunde	n	1
http://www.dorst.de/dorst_seite/html/wir.html	21124d3b288ea6bf99e8e9b0df6a9edbcc3b	21	Es sind Synergien pur , die hier zum Tragen kommen - immer zum Wohle der Kunden und immer mit dem Ziel , Technologieführerschaft stets aufs Neue unter Beweis zu stellen . Kundenorientierung In der Organisation des Unternehmens sorgt ein enger Verbund aus Markt und Technik für die Befriedigung der	Kundenbedürfnisse	, wobei 5 eigenständige Kompetenzteams für eine zielgerichtete Betreuung einzelner Marktsegmente zur Verfügung stehen . Hohe Fachkompetenz sowie flexible und dynamische Ansprechpartner kennzeichnen diese Teams .	Pl	Ind	Kunde	n	1
http://www.allesaussersport.de/archiv/2010/08/10/dienstagsrauschen-vertrage-und-unvertragliches	a32250e908e21973ef5e12f79f34d6c04123	78	Gerade seine 600 Marke sehen viele als nicht mehr viel Wert an . Inkl der New Yorker Presse : uriblank Kommentar Tue , 10 Aug 2010 , 23:50 @Atterl : Wieso ? Glaubt doch eh niemand seinem persönlichem Geschmack , sondern teurer und nutzloser	Kundenbefragung	. Kommentar Wed , 11 Aug 2010 , 0:30 Sowas macht Sky ? Ist mir noch gar nicht untergekommen ... ich dachte , die senden eh was sie wollen ...	Sg	Ind	Kunde	n	1
http://www.serviceprofit.de/index.htm	64b27c53a7af3787ac8009c87b2ddc08ce0d	5	Seit Mai 2010 sind wir als serviceorientiertes Unternehmen gemäß der Richtlinie ServiceQualität Deutschland Stufe I zertifiziert . Webseite ServiceQualität Deutschland Mitglied im BVM Wir sind Mitglied im Berufsverband Deutscher Sozial - und Marktforscher e.V. Webseite des BVM Sie sind hier : Startseite Inhalt der Seite : Mit gorath servicetest zu mehr Kundenzufriedenheit Wir führen für Sie Qualitäts - und Servicetests wie Testkäufe ( Mystery Shopping ) ,	Kundenbefragungen	, Mystery Calls , Testreisen etc. durch - individuell zugeschnitten auf Ihr Unternehmen . Lesen Sie mehr über unsere Mystery Shopping Leistungen Unsere langjährige Praxiserfahrung , Kompetenz und persönliche Betreuung unserer Kunden sind ein Garant für erfolgreiche Projekte .	Pl	Ind	Kunde	n	1
http://www.ipt.ch/de/blog/detail/individualsoftware-ohne-risiko-teil-2	2ea96baa9e5d5b036942bfc150dd3d8099bf	2	Viele Unternehmen wollen und müssen sich durch Individualsoftware differenzieren . Dieser zweite Teil der Serie zeigt an einem konkreten	Kundenbeispiel	auf , wie sich eine Composite Application auf Oracle SOA Suite umsetzen lässt . Mit der Oracle SOA Suite kann Individualsoftware in Form von Composite Applications entwickelt werden .	Sg	Ind	Kunde	n	1
http://www.stadtwerke-schwedt.de/unternehmen.php	3329df689a554b6a7b095bc1b1438e213d06	6	Einen großen Anteil haben die Mitarbeiter unseres Unternehmens . Als Techniker ,	Kundenberater	oder Kaufleute kümmern wir uns um die vielen Selbstverständlichkeiten des Alltags . Um Strom und Wärme , um Telefon , Internet und Kabel TV .	Pl	Ind	Kunde	n	1
http://www.twentyone.de/Referenzen/Referenzen-IT_Unterstuetzung_fuer_Aussen_und_Innendienst_Sparkassenversicherung_Sachsen_SVS.html	187e25980bc3fc1d99e234391e9bedeb79e8	3	Versicherungsprodukte sind erklärungsbedürftig . Die Qualität der	Kundenberatung	und - betreuung ist ausschlaggebend für den Verkaufserfolg . Wesentliche Voraussetzungen für eine optimale Beratung sind die Kenntnis des individuellen Kundenbedarfs auf der einen Seite und der unkomplizierte Zugriff auf Produkt - , Tarif - und Vertragsdaten auf der anderen Seite .	Sg	Ind	Kunde	n	1
http://www.mzmultimedia.de/apple-smart-cover-leather-navy-p-287185-5.html	1bbcee4c689d30b65b5c39cb924638855a09	32	Anders als bei einigen anderen Online-Shops gibt es bei MZMultimedia.de keine Mindestbestellwerte . Über unsere Hotline oder den E-Mail-Kundenservice können Sie sich rund um das Thema " Unterhaltungselektronik " informieren und Fragen an unsere	Kundenbetreuer	richten . Benötigen Sie weitere Informationen oder ist einmal etwas schiefgelaufen ?	Pl	Ind	Kunde	n	1
http://www.bewerbung-forum.de/forum/kundenbetreuer-bewerbung-im-fuhrparkmanagement-t43904.html	8b7ac259c380c9acb52f3f05a2f3849c64b1	35	Sehr geehrter Herr X , nach unserem heutigen Telefonat übersende ich Ihnen wie vereinbart meine Bewerbungsunterlagen für die bei der XXX GmbH ausgeschriebene Position des Kundenbetreuers Firmenname und ausgeschriebene Stelle sind wiederholungen von Dingen die an andere Stelle ( Betreff ) gehören . Ihre Stellenausschreibung hat sofort mein besonderes Interesse gefunden , da die Position des	Kundenbetreuers	eine perfekte Möglichkeit darstellt , meine Kommunikationsfähigkeit , mein Interesse für Automobile und mein Organisationstalent mit meinem beruflichen Wirken verbinden zu können . Kurz zu meiner Person : finde ich persönlich nicht schön Ich komme ich später noch drauf zurück bin ausgebildeter Bürokaufmann und bilde mich berufsbegleitend zum Betriebswirt HWK weiter .	Sg	Ind	Kunde	n	1
http://www.flatex.de/preise-vergleich/boersengebuehren.html	f0ddd95285df6cf167c77a1bc92d9606c0c6	40	- Warum werden regelmäßig 2,08 EUR " Regulierungsgebühr " bei meinen Orders in Frankfurt mit weniger als 1.000 , - EUR Volumen berechnet , wenn sie nach obiger Vorschrift max. 0,49 EUR + 0,001 / 100 x 1.000 EUR = 0,50 EUR betragen müsste ? Die	Kundenbetreuung	hatte hierzu leider auch nur Floskeln parat , das ist m. E. inakzeptabel ! - Wieso erscheint der Hinweis " Sie haben diesen Artikel bereits bewertet .	Sg	Ind	Kunde	n	1
http://www.hausarbeiten.de/faecher/vorschau/97988.html	341a0b512fc96880d9ea07eb92cea7c0fa92	270	Sie bekommen die Werte ihres Chefs ( besonders die Sekretärin ) und des Unternehmens vermittelt , und haben sich nach diesen zu richten . Wir selbst haben in unserer Referatsgruppe die Erfahrung machen können , wie sehr sich die Werte eines Unternehmens , bei Sekretärinnen und der Telefonistinnen widerspiegelt 14 6.1.3 Persönliche Erfahrung der Außenwirkung einer Unternehmenskultur CocaCola Bei CocaCola besteht die	Kundenbeziehung	darin , immer zu wissen , wer die Kunden sind , was sie wollen und dementsprechend zu handeln . Dieses war bei der Suche nach Informationsmaterial zutreffend .	Sg	Ind	Kunde	n	1
http://www.josef-neumeyer.de/static/hauptseite/history/history.htm	7f42fc12f9d892c9b69200ec90d6586ef85e	15	Ihm ist ein weltweites Kundennetz zu verdanken , das sich heute von Europa über Afrika und über den gesamten amerikanischen Kontinent , bis hin nach Asien erstreckt . Die damals geschaffenen Werte und jahrzehntelangen	Kundenbeziehungen	verpflichten die Fam. Neumeyer zu konstanter , höchster Qualität in ihrem Unternehmen und dazu individuelle Kundenbeziehungen zu pflegen . Foto von uns !!!	Pl	Ind	Kunde	n	1
http://www.ahf-muenchen.de/Tagungsberichte/Berichte/htm/2001/52-01.htm	5a9299a7a0343aa5954226ee6d41e73f1dbd	32	Und schließlich wüssten alle an dem Prozess Beteiligten nun viel genauer , was ein Archiv eigentlich tut , so dass Verhandlungen jetzt sehr viel qualifizierter abliefen als vorher . In der Diskussion wurde vor allem nach dem einmaligen und laufenden Zeitaufwand für die Umstellung gefragt und danach , welches	Kundenbild	der Produktpalette zugrunde gelegt wurde . Auf die Notwendigkeit nicht nur externe " Kunden " , sondern auch die eigene Verwaltung als " Kundschaft " des Archivs im Blick zu behalten wies Dr. Ulrich Nieß ( Stadtarchiv Mannheim ) in seinem Vortrag " Die verwaltungsinterne Benutzung als lästige Pflicht ?	Sg	Ind	Kunde	n	1
