DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.jahrbuch-daun.de/VT/hjb1983/hjb1983.74.htm	3422ccb125f7e40cb319571db45743e0c0b2	130	Sie zeigt den Verstorbenen ebenfalls in Rüstung , umgeben von zwei Wappenleisten . Die Wappen zu seiner rechten Seite beziehen sich auf die väterliche Linie (	Schwertahnen	) : Manderscheid , Sombreff , Virneburg , Neuenahr , Schleiden , die zu seiner linken auf die mütterliche Linie ( Spindelahnen ) : Waldeck , Hoya , Solms , Lippe , Wertheim . Im Aufbau ein Wappen Dietrichs VI .	Pl	Ind	Schwert	er	0
http://rpg.ilumnia.de/games/zeldaww/review-eccoman.html	8810f8d13fdb846d4c752cda8cd46abc3300	6	Hier fällt schon auf , dass Link seit seinen 64 - Bit-Auftritten ( die ebenfalls in 3 D waren ) neben der sehr ähnlichen , komfortablen Bedienung auch einige neue Manöver gelernt hat : mit einem Druck auf A zur rechten Zeit können Konterattacken ausgeführt werden , die sich als sinnvoll-innovative und gute Neuerung entpuppen . Zu den alten Manövern zählen diverse	Schwertangriffe	, blocken und Ausweichmanöver wie z. B. der Rückwärtssalto . Das ganze Kämpfen ist übrigens unterhaltsamer denn je : durch die recht zahlreichen Aktionsmöglichkeiten und abwechslungsreichen Widersacher freut man sich schon richtig auf eine physische Auseinandersetzung .	Pl	Ind	Schwert	er	0
http://www.drachenlanze.de/archiv/personen/sturm.htm	d6b0584254cfb149b8f17339c9d1f1e9b65c	21	Er glättete sorgfältig seinen dicken Schnurrbart , ein uraltes Symbol der Ritter , das genauso fossil war wie seine Rüstung . Er trug den Schmuck der solamnischen Ritter mit unerschütterlichen Stolz - und er hatte den	Schwertarm	und die Übung , um diesen Stolz zu verteidigen . Obwohl die Leute im Wirtshaus ihn anstarrten , wagte niemand - wenn er in die ruhigen kalten Augen des Ritters gesehen hatte - zu kichern oder eine abfällige Bemerkung zu machen .	Sg	Ind	Schwert	er	0
http://www.japanisch-netzwerk.de/archive/index.php?thread-1916.html	e2c2a5df7158a47d21e3e296d6a63142b9aa	5	Macht für mich am meisten Sinn . Ein tsurugi ist eine bestimmte	Schwertart	. Also Tsurugi des Nordens .	Sg	Ind	Schwert	er	0
http://www.tabletopwelt.de/forum/archive/index.php/t-66895.html	516b1a8ae584095165bdbf23528facaf81a0	697	Schlitzen sich deswegen nicht manchen Katanatypen ihre Hand auf ( zwischen Daumen und Zeigefinger ) ? Aber wobei ich mir ganz sicher bin : Die Gravur des Schmiedes wird bei den beiden	Schwertarten	unterschiedlich rum draufgehauen . 05.07.2005 , 17:21 Ich war mir so sicher , dass das Katana die Schneide nach oben , das Tachi die Schneide nach unten hat ( beim Tragen ) .	Pl	Ind	Schwert	er	0
http://rpg.ilumnia.de/games/fft/review-jaegermeister.html	f3d7ebcf65856be089b1d5a16d52eb9dae1a	17	Er nähert sich also einer gegnerischen Einheit , auf die er sogleich fröhlich mit dem Schwert eindrischt . Eine	Schwertattacke	hat eine hohe Priorität , d.h. sie wird unmittelbar nach Eingabe des Kommandos ausgeführt . Der Magier der Truppe versucht sich an einem Feuerzauber , der eine vergleichsweise niedrigere Priorität hat : nach Auswählen der gewünschten Garstufe muß sich der Zauberzausel erst sammeln und konzentrieren , bevor er die Hölle über seine bemitleidenswerten Opfer hereinbrechen läßt .	Sg	Ind	Schwert	er	0
http://www.trix-express-stammtisch.de/termine%20euregio.htm	bb57cb48dcd3a708f3574b20e618c0ee5221	16	Des weiteren bieten sich am Wochenende die Stellplätze der LVA an , welche sich auch in der Benediktinerstrasse befindet . Und dann gibt es noch das	Schwertbad	, welches ein kleines Parkhaus hat . Dies ist sehr günstig .	Sg	Ind	Schwert	er	0
http://www.rollenspielewelt.de/pc/robinhood/robinhood.htm	d013ffa36c9c4a8b11d02dd7a250db0c7f6e	42	Dadurch könnt Ihr ganze Aktionsketten leicht und überschaulich Euren Charakteren zuordnen und mit der Leertaste ausführen . Beim Kampf Mann gegen Mann könnt Ihr Eurem Helden analog zu " Black & White " mit gedrückter Maustaste einfach die	Schwertbewegung	auf dem Bildschirm malen und schwupp di wupp führt er sie aus . Treffer erkennt Ihr daran , dass eine kleine Punktzahl über dem Kopf des Getroffenen erscheint oder das er mit einem Sternenkopf zu Boden geht .	Sg	Ind	Schwert	er	0
http://www.nintendo-online.de/forum/archive/index.php/t-31744.html	ce2e7720f6f7f868f62083e7e3660fb0f4da	76	Bislang sah es aber leider genau danach aus ! Denn laut Ubisoft sollten die Bewegungen des Controllers während der Schwertkämpfe auf dem Bildschirm lediglich in vorprogrammierte	Schwertbewegungen	umgesetzt werden . Eine wirklich freie Bewegung der Klinge , die den Spielern ganz eigene Kampfstile erlauben würde , war nicht vorgesehen .	Pl	Ind	Schwert	er	0
http://www.suehnekreuz.de/sachsen/texte/wiechel1911.html	657734f56f3f084eed30a6bd2914d3f32aa5	24	Einzelne Beobachter weisen auf die altertümliche Form der eingegrabenen Waffen hin ; nun besitzen wir in den Rüstkammern , z.B. dem historischen Museum in Dresden , planmäßig geordnete , bis in das Mittelalter zurückreichende Sammlungen von Waffen , deren einfache unbeholfene Bilder unsere Steinkreuze zeigen . Die Zahl solcher zum Vergleich heranzuziehender Einmeiselungen ist nicht gering ; so sind in Sachsen mir bekannt : 27 Steinkreuze mit	Schwertbildern	, 7 dergl . mit Armbrüsten , 4 dergl .	Pl	Ind	Schwert	er	0
http://www.weblexikon.de/Blatt_(Pflanze).html	73948baa3e0fba1ad48d30f3c603d703a0cc	48	Blattstiele sind oft unifazial , aber auch die Blätter vieler Einkeimblättriger , wie etwa Binsen , deren Blätter oft sprossachsenähnlich sind . Ein Spezialfall sind die Blätter der Schwertlilien ( E ) , deren unifaziales Blatt sekundär wieder flach wurde , aber durch Abflachung in der Achsenrichtung , sodass reitende Blätter , auch	Schwertblätter	genannt , entstanden . Morphologische Gliederung Gliederung des Blattes .	Pl	Ind	Schwert	er	0
http://www.maisterlabyrinth.de/Blumenfeld/456	4789ed8cfbb2dbeba8221d87ae21a1ec6fda	8	Die Sonnenblume im engeren Sinne ( Helianthus annuus ) ist eine Pflanzenart aus der Gattung der Sonnenblumen ( Helianthus ) innerhalb der Familie der Korbblütler ( Asteraceae ) . Bildergalerie » Gladiolen Die Gladiolen ( Gladiolus ) (	Schwertblume	, lat. gladius = " Schwert " ) sind eine Pflanzengattung in der Familie der Schwertliliengewächse ( Iridaceae ) . Heimisch sind die Arten dieser Gattung vom südlichen Europa über den Nahen Osten bis nach Afrika und Madagaskar .	Sg	Ind	Schwert	er	0
http://www.babenberg-royal.de/hohenstaufen.htm	65095b30a3bc9f46682938d30e3b7c2d0a92	39	In der Darstellung des Hohenstaufer Kaisers Heinrich VI . aus dem " Codex Manesse " ist sein normannisches Schwert ( mit	Schwertdornen	) rot-weiß-rot gebändert dargestellt . Das vollständige große Wappen von Kärnten ( Österreich ) zeigt den Staufer Schild der drei schwarzen Löwen auf Gold zusammen mit den Hörnern und Blättern , wie sie gemeinsam die beiden Schwingen im Paula-Wappen mit der rechten schwarzen und der linken roten Schwinge ( vom Adler , Helm aus gesehen ) auftreten .	Pl	Ind	Schwert	er	0
http://www.schrotundkorn.de/1998/sk9809g1.htm	373f8f464508e0f9568f41a9ef1130fa3a6f	102	Das fand die NASA bei Forschungen zur bemannten Raumfahrt heraus . Top in Sachen Formaldehyd-Vertilgen ist zum Beispiel der	Schwertfarn	" Bostoniensis " . Xylol und Toluol werden am wirkungsvollsten von der Arecapalme aus der Luft gefiltert .	Sg	Ind	Schwert	er	0
http://www.zeitspurensuche.de/02/sage1.htm	ef5caf5ac4fb726af8e80bfb755faf993e84	149	Wahrscheinlich würden sie heute in dieser Form nicht mehr behördlich genehmigt werden . Wieland der Schmied erzählt von Franz Hendrichs Leider sind keinerlei unmittelbare Nachrichten über die Stahlgewinnung und die Art der	Schwertfertigung	in jenen frühen Zeiten auf uns gekommen . Was wir wissen , verdanken wir der Sage , die am reinsten wohl und schönsten im Amelungen-Liede zu uns spricht .	Sg	Ind	Schwert	er	0
http://forum.airsoft-team-augsburg.de/ftopic4748.html	2f23fcd352d50d3de38a7c33b8b092da1c3c	3	Da wir leider nicht Paramount Pictures sind und mal eben 100 Mann mit Uniformen ausstatten können , bin ich auf die Idee gekommen mal bei Softair Teams nach zu Fragen . Wir waren was solche Anfragen angeht bisher imme rnur mit LARP Spielern in Kontakt , da es dann immer um Aufnahmen von	Schwertfilmen	ging . Jetzt aber geht es um eine aktuelles Projekt und dafür würden wir " moderne " US-Soldaten benötigen .	Pl	Ind	Schwert	er	0
http://blog.ruegentravel24.de/2010_07_01_archive.html	4ca4389b83d2290224529012f039a79d089f	63	Im Hang vor der Kulisse der beiden Leuchttürme haben Handwerker mit Fischernetzen die kleine Hütte des alten Fischers und gleich nebenan die Roman-Bar " Terrass " aufgebaut . In der Bühnenmitte sitzt der alte Fischer in einem auf einem künstlichen Meer treibenden alten Fischerboot und kämpft , die Angelschnur in den blutigen Händen , mit dem riesigen	Schwertfisch	. Ab 30. Juli wird Janson dort zehn Abendvorstellungen geben .	Sg	Ind	Schwert	er	0
http://www.shaolin-wushu.de/reiseberichte/jochen.htm	925cb4669fbd2d94d65bdf5f51890edcf937	120	1. Ich kann wieder mit voller Power trainieren . 2. Mein Trainer hat gesagt ich darf anfangen die	Schwertform	zu lernen . Also gleich ein Trainingsschwert organisiert und angefangen die Basics zu lernen .	Sg	Ind	Schwert	er	0
http://www.naginata-nrw.de/pages/service/museumstips/deutsches-klingenmuseum.php	170860d4cde393443c1d4403fb692e2f1d6b	10	Darüber hinaus gibt es aber auch einige Vitrinen zu den Blankwaffen anderer Kulturen . Unter diesen sind zum Beispiel chinesische Bronzewaffen , Klingen der indonesischen Inseln , Hieb - und Stiebwaffen des alten Iran und rund ein halbes Dutzend verschiedener japanischer	Schwertformen	, unter denen insbesondere das imposante Nodachi zu nennen ist . Klingen von Stangenwaffen findet man bis auf zwei Ausnahmen leider nicht : Bei diesen handelt es sich um Lanzenspitzen aus dem Iran und die Klinge einer rund 3000 Jahre alten chinesischen Hellebarde ( Ge ) .	Pl	Ind	Schwert	er	0
http://www.historik.de/rubrik/154	ce58c29c800edaa6de577d36d605bfae32d4	11	Handelt es sich also nur um einen Mythos ? Ein	Schwertforscher	gibt jetzt Antworten - ausgerechnet mit Hilfe einer japanischen Schleiftechnik . Weiterlesen » Nov 14 2006 Wo war die Varusschlacht ?	Sg	Ind	Schwert	er	0
http://www.orient4all.de/ptopic,41608.html	a03d9622a7464c31e6616db926efcf6696c1	29	Ich versuche diese Haltung jetzt auch im Alltag beizubehalten , damit ich sie verinnerliche . Hat auch den Effekt dass die Bauchmuskulatur zwischen	Schwertfortsatz	und Nabel mehr beansprucht werden um den Brustkorb quasi zu ' tragen ' . Macht auch ein gutes Gefühl im Solar Plexus .	Sg	Ind	Schwert	er	0
http://www.j-heim.de/CPR.htm	577408b085aef966f3ecdcfb308ae52af583	49	Herzdruckmassage : Der Druckpunkt für die Thoraxkompression liegt im unteren Drittel des Brustbeines . Der untere Rand des Brustbeins kann durch Tasten des	Schwertfortsatzes	ermittelt werden . Der Druckpunkt für die Komprimierung liegt ca. eine Fingerbreite darüber .	Sg	Ind	Schwert	er	0
http://segel.de/jeton/alt/Handbuch/Schwert.htm	2e90ffde326728d1f63957be84251220dc50	76	Um das Schwert zu führen , muß es an drei Punkten festgelegt werden , vorausgesetzt das Schwert ist in sich steif genug . Das Konzept der	Schwertführung	beim JETON ist im Prinzip richtig , wenn man davon absieht , daß ein anders geformter Schwertknauf und ein nach vorne verlängerter Schwertkasten für die Stabilität günstiger wäre . Die drei festen Punkte sind : der Schwertdrehpunkt ( A ) , der Auflagepunkt auf der vertikalen Führungsleiste im Schwertkasten unten ( B ) , der Auflagepunkt auf der Führungsleiste oben ( C ) .	Sg	Ind	Schwert	er	0
http://www.zeitspurensuche.de/02/sage1.htm	ef5caf5ac4fb726af8e80bfb755faf993e84	10	" In Frankreich soll heute noch die alte Überlieferung bestehen , daß Karl der Große seine langen und gefürchteten Schwerter aus dem Bergischen Land erhalten habe . Jedenfalls wurden bei Elberfeld-Barmen und im Ittertal bei Solingen	Schwertfunde	gemacht , die einwandfrei als Erzeugnisse aus Rennstahl identifiziert wurden . " ) Beermann S. 13 - 17 ( Rennfeuer , offenes Feuer mit Handblasebälgen zur Eisengewinnung direkt aus Erz ; veraltet .	Pl	Ind	Schwert	er	0
http://c4rter.de/joomla/Allgemeine-News/Pirates-Of-The-Carribean-Fremde-Gezeiten-Pirates-Of-The-Caribbean-On-Strangers-Tides-3.html	cd3d6abbb7b3b1988299644955559c4e16e6	18	... das wars . Ein paar	Schwertgefechte	später sind auch schon 140 Minuten vorbei und viel mehr gibt es nicht zu sehen . Eigentlich . Bis auf Meerjungfrauen und einen unmotivierten Nebenplot .	Pl	Ind	Schwert	er	0
http://www.animania.de/forum/archive/index.php/t-2276.html	c29581c2afe46d8c19e233353a01f4920f1f	244	So mach ich es bei meinem Bustersword ( FF AC , Cloud ) . oder suchst nen Laden der	Schwertgerüste	aus Holz und Latex(oderKunststoff) verkaufen . Die gehen aber leichter kaputt .	Pl	Ind	Schwert	er	0
