DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://beautyjunkies.inbeauty.de/forum/archive/index.php/t-17620-p-5.html	aa2e6758ee2d6628ee1330e7b4498c8acbc7	514	Gut , das liegt sicherlich auch an meinen sehr guten Genen ( bei uns schaut keiner so alt aus wie er ist *g* ) , der Tatsache , daß ich täglich 3 Liter Wasser & Kräutertee trinke , nicht rauche und mir morgens ein Gläschen Karottensaft hinter die Binde kippe plus Hefetabs schlucke . Bin auch kein Sonnenanbeter ( liegt sicherlich auch an einer in der Pubertät Gott sei Dank verwachsenen	Sonneallergie	) , das alles unterstützt das auch . ABER man wird halt nicht jünger und selbst mit den besten Voraussetzungen muss man auch etwas unterstützen und ich bin dafür rechtzeitig genug was zu machen .	Sg	Ind	Sonne	n	0
http://www.kilometer-fuer-kinderleben.de/roadbook_tag_5.php	5aedafad496a9dedcc02f79ded5814c86c09	23	Wenn ich den Ölstand richtig abgelesen habe , dann hat der Motor nicht einen erkennbaren Tropfen Schmierstoff verbraucht . Um 4 Uhr früh , wahrscheinlich ist 5 oder gar 6 Uhr , rollen wir erst über das Stoppelfeld und dann wieder auf Asphalt in den	Sonneaufgang	. Motorradfahrer wissen , wie sich das bei knapp über dem Gefrierpunkt anfühlt .	Sg	Ind	Sonne	n	0
http://news.nauticexpo.de/press/schlauchboote-AB.html	8508d3a58220a9c2b89ab08f0d5ad99e12cc	13	Es gibt immer viel des Raumes sogar mit Losen Gästen an Bord . Es gibt bequem gesetzte Gehwege , eine große	Sonneauflage	und einen leben-speisenden Bereich , die auch fünf , Dank der in hohem Grade Funktionsgaleeremaßeinheit setzen . Die Stauungkapazität ist beträchtlich und gut organisiert .	Sg	Ind	Sonne	n	0
http://www.gesellschaftshaus-sonneberg.de/news/texte/081128-1.htm	0d43aa07402ba396a76712b5ce48a54aa3be	7	Das " Vorglühen " für die Stamps übernehmen KAHBA , die Coburger präsentieren " unplugged " frischen , melodischen Deutsch-Pop mit Texten , in denen sich jeder wiederfindet , weil sie scheinbar direkt aus dem Leben gegriffen sind . Karten zum Vorzugspreis von 5 € gibt es ab 4.12.08 in der Musikabteilung der Müller-Drogerie , im Gewölbe , im	Sonnebad	und bei der Tourist-Information Sonneberg sowie für 6,50 € an der Abendkasse . Christmas Rocks - 25.12 . Gesellschaftshaus Sonneberg VVK 5 € / AK 6,50 € Einlass 21 Uhr , Beginn 22 Uhr Civilization Webring Forum > Abseits von Civ > Diskussionsecke > Mann im Gefängnis zum " Selbstmord " geprügelt PDA Archiv verlassen und diese Seite im Standarddesign anzeigen : Mann im Gefängnis zum " Selbstmord " geprügelt Nephisto 15. November 2006 , 22:52 Ich habe gerade das ( uriblank ) gelesen ... momentan fehlen mir noch die Worte , um hier viel zu schreiben :un: ich finde es nur erschreckend , wie man eine solche Gewalt aufbringen kann , einen Menschen so lange zu prügeln und zu missbrauchen bis er sich quasi selbst umbringt , auch wenn der arme Mann wohl nicht mehr in der Lage war , irgendetwas selbst zu machen :( auch die Gefängniswärtern dürften nicht ganz unschuldig sein . Wenn jemand auf den Notknopf drückt , haben sie nachzugucken , egal was sie anderen Häftlinge sagen oder nicht ...	Sg	Ind	Sonne	n	0
http://www.cz-wellmed.de/fettabsaugen.htm	8ecae3c396f270ed080ebcffda5afbd1340f	118	Auch wenn Sie sich in Ihrem Körper nun richtig wohl fühlen , sollte die Haut nicht strapaziert werden . Mindestens 2 Monate nach der Schönheitsoperation sind Solarium Besuche und	Sonnebäder	tabu . Eine dunkle Pigmentierung der Narbe könnte die Folge sein .	Pl	Ind	Sonne	n	0
http://www.hepatitis-c.de/claudia-aus-belgien.htm	ac7f93bfcbc3469b0c513b7f81ae1debfaab	95	Die Schmerztabletten waren mein bester Freud geworden . Ich probierte es , mit warmen Bädern und	Sonnebank	, die Schmerzen zu unter drücken . Die Sonnebank , die mir und meiner Haut gut tat , wurde ein guter Freud von mir und die echte Sonne war auch gut .	Sg	Ind	Sonne	n	0
http://www.reinigungsbedarf-donath.de/reindes.htm	b334be9f69453627a673eab1c614ba7dc5e0	38	* ( * gelistet in der 5 - Min .- Spalte der VAH ) Tbc : konz .- 1 Min . Rota / Adeno / HCV : konz .- 1 Min . HBV / HIV : konz .- 2 Min . Noro - / Norwalk-like-Viren ( FCV ) konz .- 15 Min . Wirkungsspektrum DESOMED ®RAPID AF wirkt : - bakterizid inkl. Tbc , MRSA - fungizid - virusinaktivierend ( HBV / HIV , HCV , Rota - , Adeno - , Vakzinia , Noro - / Norwalk-like-Viren ) Lieferformen : 100 ml-Handsprühflasche 30 x 1 Liter 500 ml-Descoflexflasche 20 x 500 ml 1 - Liter-Descoflexflasche 10 x 1 Liter 2 - Liter-Beutel 6 x 2 Liter 5 - Liter-Kanister 3 x 5 Liter Sonnenbank - desinfektion Desinfektion und Reinigung von Sonnebänken Achtung : Datei 1,3 MB Einsatzempfehlung : Konzentrat zur professionellen Desinkektion und Reinigung von	Sonnebänken	, speziell von Acrylglasflächen . Inhalt 1000 mltr .	Pl	Ind	Sonne	n	0
http://www.dghtserver.de/foren/archive/index.php?t-3315.html	72173da63dac99830be8a226423932fa63f0	28	joe _ 99 _ de wrote : Prima Tip mit der Literatur ! Also : - Goldfische und	Sonnebarsche	lieben Froschlaich - Gelbbrandkäfer und Rückenschwimmer lauern den schlüpfenden Kaulquappen auf Noch zu überprüfende Aussagen sind : - Frösche mögen ruhige Gewässer lieber als bewegte Gewässer - Frösche mögen Dickicht mit Algen und Schlamm am Boden lieber einen Sterilen Teich ... ich lese weiter . Hallo , wenigstens hast Du Dich mal ansatzweise kundig gemacht .	Pl	Ind	Sonne	n	0
http://www.cine4home.de/Specials/BlackScreen3/Anleitung.htm	2d87523e3362cc85c409532c6c628b8ac837	81	Wer den Kontrast besonders positiv beeinflussen will , wählt zudem eine " schattige " Position für die Leinwand . Dies bedeutet messtechnisch , dass die	Sonnebeleuchtung	der Wand , vor der die Leinwand montiert werden soll , zwischen 50 und 190 Lux liegen sollte . Auch dies lässt sich mit dem Luxmeter schnell ermitteln .	Sg	Ind	Sonne	n	0
http://www.kinderberlin.de/Planetarien-Berlin/Wilhelm-Foerster-Sternwarte-Berlin.htm	fe814688d2399fd11271fb49fb6e6c523905	6	Dabei finden sich hier nicht nur die verschiedenen Planete , sondern auch Nebel und Galaxien . Und bei Tage kannst Du hier eine echte	Sonnebeobachtung	durchführen , bei der du auch die dunklen Schatten auf diesem ganz besonderen Stern erkennen wirst . Neben wechselnden Veranstaltungen im Planetarium und der Möglichkeit zum Sternebeobachten selbst bietet die Wilhelm-Förster-Sternwarte auch ein buntes Angebot für Kinder , insbesondere für Schulgruppen .	Sg	Ind	Sonne	n	0
http://www.cz-wellmed.de/faq.htm	48ccddb1ba78e82fc10e6a9473ee9fa4176d	416	Ab wann kann ich wieder ungeschützt in die Sonne ? Mindestens 3 Wochen nach dem Facelift sollten Sie die direkte	Sonnebestrahlung	meiden . In den Wochen nach dem Eingriff sollten Sie das Gesicht mit einem sehr hohen Lichtschutzfaktor schützen .	Sg	Ind	Sonne	n	0
http://www.astro-foren.de/archive/index.php?t-5456.html	ade6d3693497cc88ee1503c8526a0e07bb86	6	Mit dem Interferenzfilter bekommt man ja auch APO-Abildungsqualität , wenn die Korrektur im Grünen sehr gut ist , was bei diesem Refraktor der Fall zu sein scheint . Ich hoffe mal , diese Fleckengruppe bleibt bis zum Samstag so schön , dann werde ich meinen MN 78 mit Folienfilter drauf richten und endlich auch mal wieder ein	Sonnebild	abliefern . 18.03.2005 , 17:16 Hallo Bino-Tom , ich drück Dir die Daumen für 's Wochenende !	Sg	Ind	Sonne	n	0
http://www.bilderforum.de/t2622-sigma-dp1-dp1s.html	c7556ca7f3f78340199f4e2f0bb6bcfd0109	8	Danke für Eure Antworten . 07.05.2010 , 11:27 # 2 @bumac Ich tu mein Möglichstes @bumac 's Ausrüstung @bumac 's Ausrüstung Kamera : Dp 1 s Ort : Madrid Beiträge : 186 Bilder Galerie : 0 Hallo , ich habe meine dp 1 s bei Foto-Mundus für 250 Euro erstanden (	Sonneblende	inklusive ) . Es handelte sich um ein Ausstellungsstück .	Sg	Ind	Sonne	n	0
http://www.kaowner.de/forum/archive/index.php/t-14759.html	5ac05098628989b1784253c73f53ecb41095	31	Kann man dieses weiche Material lackieren ? 21.10.2010 , 13:55 ja ist der thread kannst eigentlich jeden stoff nehmen was du alles beziehen willst ist geschmackssache kannst ja auch mitm 2. stoff helles muster reinmachen oder sowas .. die sonnenblenden kann man auch beziehen 21.10.2010 , 15:27 gerade beim himmel ist es extrem blöd , weil damit du nicht über kopf arbeiten(sprühen) musst und nicht alles abkleben musst wäre es sinnvoll den himmel auszubauen , und wenn du den eh schonmal draußen hast kannst du den auch mit stoff beziehen für die	Sonneblenden	kannst du ruhig das spray nehmen . wenn du langsam sprühst bekommst du ein relativ gutes Ergebnis .	Pl	Ind	Sonne	n	0
http://www.ref-sg.ch/news/index.php?s=aserwa1101%26ru=3	b7a853531656e29b4fcaf9a9c7be866905dc	137	Am 24. August um 19 Uhr findet in der Offenen Kirche St. Leonhard in St. Gallen unter der Leitung von Andreas Fischer , Theologe , und Dr. phil. Elisabeth Frick Tanner , Expertin für tiergestützte Psychotherapie , ein Gottesdienst für Zweibeiner und Vierbeiner statt . ( Heidi Amstutz , 20.08.2003 ) Interreligiöse Pfingsttage mit Fredy Ali Bollag Im	Sonneblick	, Walzenhausen , finden vom 7. bis 9. Juni interreligiöse Pfingsttage mit Fredy Ali Bollag , Andreas Fischer und Elisabeth Tröndle statt . ( Heidi Amstutz , 03.06.2003 ) Jesu Tod am Kreuz Vorlesungsreihe im Festsaal St. Katharinen , St. Gallen ( Hans Ruedi Fischer , 25.04.2003 ) Beauftragter für kirchliche Erwachsenenbildung gewählt Paul Baumann von der Arbeitsstelle Jugendfragen in neuer Verantwortung ( Hans Ruedi Fischer , 25.02.2003 ) Schweizer Bericht am Kirchenkongress im grossen Nachbarkanton !	Sg	Ind	Sonne	n	0
http://www.kerpen-blatzheim.de/arch34.html	064c2badf931bf6915e4abf9436df6baccc4	86	Die Messe , die auch von den Messdienern unter Leitung von Monika Dickmann und Alexander Bittner vorbereitet wurde , stand unter dem Leitmotiv " Wie Blumen am Altar " . Jeder neue Messdiener fügte ein neues Blütenblatt in die Blüte einer	Sonneblume	ein . Einige ältere Messdiener , zumeist die Geschwister der Neuen , trugen Texte und Fürbitten vor .	Sg	Ind	Sonne	n	0
http://www.hoelzerner-see.de/de/news.html?main_start=50	c3c006f265b5aa3d70db6b04f0040e4c7a02	2	Von KiEZ Redakteur , geschrieben am 12.09.2012 , 02:02 . Diese	Sonneblumen	stehen am bunten Baum dierekt vor der Rezeption . Vielen Dank an die Gärtner und die lieben Kinder , die sie in Ruhe wachsen ließen .	Pl	Ind	Sonne	n	0
http://www.kikisweb.de/spezial/sommer/wissen/sonnenbrand.htm	87664bdf8079af5e08127d7da0fbf0cbd346	8	Damit man erst gar keinen Sonnenbrand bekommt , sollte man die grelle Sonne vermeiden oder sich vorher mit Sonneschutz eincremen . Besonders am und im Wasser bekommt man schneller einen	Sonnebrand	. Wer Schwimmen gehen möchte , sollte auf wasserfeste Sonnencreme achten .	Sg	Ind	Sonne	n	0
http://www.uniklinik-freiburg.de/onlinemagazin/live/aktuelles/haut.html	48aabb26ba947965cbc8fe25dbc1fb049cb9	137	Bin ich nun ein Hautkrebs-Kandidat ? Dr. Meiss : Einer der Risikofaktoren für die Melanomentstehung sind	Sonnebrände	in der Kindheit . Zusätzlich müssen jedoch auch weitere Risikofaktoren wie Familenanamnese , Hauttyp usw. beachtet werden .	Pl	Ind	Sonne	n	0
http://www.svspexard.de/Archiv/2011/Presse%20Westfalenliga/08Spiel/Presse25_09_WL.html	7e1f78d3503708982b05d7c936794e67bc72	616	Kapitän Lasse Fischer-Riepe spielte wieder in der rechten Verteidigung , im Mittelfeld wirbelten Serdar Erdogmus , Stephan Engeln sowie Arkadius Moschny und vorne ließen es Ardian Jevric , Björn Traufetter und eben Viktor Maier richtig krachen . Für SV-Torhüter Damian Liesemann bestand dagegen nur eine Gefahr - die eines	Sonnebrandes	. Immer wieder rollten Lippstädter Angriffe auf das Tor 13:0 lautete das Chancenverhältnis allein in der ersten Halbzeit .	Sg	Ind	Sonne	n	0
http://www.livingathome.de/foren/archive/index.html/t-335-p-4.html	7ebf14b65fce487e6f797d44c8ce868286b7	1000	Das ist das einzige Beet , das ich wohl so schnell nicht verändern werde . uriblank Jetzt blüht auch der Sonnenhut und die	Sonnebraut	so richtig intensiv und die Fackellilien , die ich erst im vorigen Jahr gesetzt habe , sind in diesem Jahr schon richtig üppig geworden . uriblank Ein Blick auf den Garten von der Terrasse aus uriblank Ein Blick in die andere Richtung uriblank Rosen , Phlox und Co .	Sg	Ind	Sonne	n	0
http://www.das-pflanzen-forum.de/t1518f16-Sonnenbraut-Helenium-Staude-des-Jahres-4.html	e11e648c364dfef82230c692ddd720ec5ce3	10	Du wirst sicher nächstes Jahr schon ein paar schöne Horste haben . # 47 So , meine	Sonnebräute	sind da . Kann das sein , dass z.B. SAHIN 'S FLOWERER mit einer dunkleren Blüte ankam und jetzt an der gleichen Pflanze 2 - 3 gelbe Blüten auftauchen ?	Pl	Ind	Sonne	n	0
http://www.summer-breeze.de/de/rueckblick/rueckblick-2008.html	f0a1f771febf236866be96ef5f1a1b9f326d	6	Der Opener " Demonic " war mit massig Durchschlagkraft und viel durchgeklopfter Snare auch schlau gewählt und es herrschte gleich ordentlich Bewegung im Volk . Vor kurzem war die Band schon auf einem anderen großen Festival zu Gast und ihr Album wurde offensichtlich auch nicht aus Versehen zum " Demo des Monats " im Metal Hammer gewählt - die Herren auf der Bühne wussten was sie taten , Drummer Moritz Menke hatte sogar extra eine	Sonnebrille	auf um sich gegen das viele Sonnenlicht im Zelt zu schützen , hüstel . Ein großes Plus der Band , ist die Zweiteilung in Sachen Gesang : Fronter David besorgte die derben Shouts während der mit der Lead-Gitarre bewehrte Nikko Schaffranek für astreine melodische Backing Vocals sorgte - andere Bands wären froh , wenn sie einen Sänger mit derartigen Fähigkeiten an Bord hätten .	Sg	Ind	Sonne	n	0
http://www.kontaktlinsen-sparen.de/blog/schaedliche-sonnenstrahlung-mit-der-kontaktlinse-filtern	d238a205814acb9eaf86b360a3bbe9139881	7	Auch unsere Augen leiden bisweilen darunter . Spezielle	Sonnebrillen	mit UV-Filter bieten dagegen einen zuverlässigen Schutz . Jetzt gibt es wie hilfreich.de berichtet aber auch für diejenigen unter uns , die statt Brille lieber Kontaktlinsen tragen , einen zuverlässigen Augenschutz - Kontaktlinsen mit UV-Filter , die die Hornhaut vor der gesundheitsgefährdenden Strahlung bewahren .	Pl	Ind	Sonne	n	0
http://www.cobra-verde.de/?id=194	3c7af2ca6196d180a802938427c691c741da	20	Das dritte Bett ist allerdings nur für Kinder zu empfehlen . KFZ Pirschfahrten werden mit offenem 4 WD - Landcruisern durchgeführt , die über kleine	Sonnedächer	verfügen . Alleiniger Gebrauch des Fahrzeugs ist auf Anfrage und gegen Extrakosten möglich .	Pl	Ind	Sonne	n	0
http://www.erlebe-aegypten.de/reise-dahabeya-segeln.htm	014e89322028c38fc0fd511bfb183daabd54	52	Hier erleben Sie das klassische Ägypten-Gefühl : Der mystische Nil mit seinen fruchtbaren Ufern , der knallblaue Himmel und die Sandstein-Tempel in ihrer ganzen Pracht . Wenn die Sonne am höchsten steht ist das mit Tüchern überdachte	Sonnedeck	der beste Aufenthaltsort . Nach dem Lunch können Sie in den komfortablen Liegestühlen ein Nickerchen machen , während die Landschaft langsam an Ihnen vorbeizieht .	Sg	Ind	Sonne	n	0
http://www.schadstoffenzyklopaedie.de/Anstriche.524.0.html	4065352f1d3e5f69108bc1b23c3e8f27a354	103	Sie enthalten keine Lösemittel und sind gesundheitlich unbedenklich . Sie schützen vor	Sonneeinstrahlung	, Feuchtigkeit und Schmutz , ohne die Atmungsaktivität zu beeinträchtigen . Nach dem Anteil der eingesetzten Lösemittel kann man Lacke und Farben in etwa so einteilen : Ganz ohne Lösemittel kommen Silikatfarben , Kaseinanstriche und Silikatputze aus .	Sg	Ind	Sonne	n	0
http://www.leserberichte.de/themen/haar-entfernung.htm	60d88a5abc317fd2c0bf5ff9f114cf681df8	15	Die Haarentfernung ist am besten für dunkle Haare geeignet . Starke	Sonneeinwirkung	sollte vor der Haarentfernung also vermieden werden . Schulpartnerschaften und Schüleraustausch am Anne-Frank-Gymnasium Besichtigung der Marienburg Innereuropäische Grenzen sind geöffnet , das Gedankenspiel eines vereinigten Europas ist allgegenwärtig .	Sg	Ind	Sonne	n	0
