DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.turngau-landshut.de/HTML-Seiten/Gaulehrtag_2009_Bericht.html	7f836f826943e84adcf5dba6d550ec222a79	9	Bei diesem Lehrtag bot der Turngau auch am Sonntag Arbeitskreise und eine Lizenzverlängerung an . Axel Fries brachte	Gerätübungen	nahe , Corinna Hauptig ( Trainerin für Aerobic ) riss die Teilnehmer mit " Bauch , Beine Po " aus der morgendlichen Müdigkeit , Karl Schwanner präsentierte Qigong für Kindergarten - und Schulkinder . Bei Jürgen Hauptig ( Trainer für Aerobic ) ging die Post mit Easy-Step ab .	Pl	Ind	Gerät	e	0
http://www.technodoctor.de/virenundwuermer.htm	d8b32ea870b6ef31f8695c53be13b5348131	112	Ein sog. Lizenz-Server verwaltet und verschlüsselt diese mit Hilfe eines DRM-Verpackers und macht sie vorerst einmal unlesbar . Dieser Server kann dann via erworbene Software direkt auf dem Wiedergabegerät im Hintergrund laufen oder auch ausschließlich zentral über eine bestehende Internetanbindung Z.B. bei Streamingvideos usw. ) realisiert werden Die erforderlichen Schlüsselcodes für Benutzerauthentifizierung und Inhalteentschlüsselung werden also erst auf explizite Anforderung ( zB . aus entsprechenden Kennungen der Wiedergabegeräte oder PCs wie Benutzer - oder	Gerätkennung	, Inhaltekennung sowie den genauen Beschreibungen der Rechte ) vom Server generiert , und machen dadurch die Dateiinhalte erst lesbar Anschließend werden sie an das Wiedergabeprogramm weitergegeben . Daraus resultiert ein zugegeben recht wirksamer Kopierschutz , der sich allerdings nur auf direkte digitale und / oder 1:1 Kopien auswirkt .	Sg	Ind	Gerät	e	0
http://paralympics.zdf.de/ZDFsport/inhalt/26/0,5676,8401498,00.html	e6ee1dc269d650250fb065b675686d4f225c	67	Dabei wird die Kommunikation mit dem DDS über das entwickelte Framework bewerkstelligt . Die Kommunikation mit dem Effektor wird auf der Basis vom TCP / IP durch die Implementierung des	Gerätsprotokolls	zustande gebracht . Dauer : 01 / 10 - 07 / 10 · Softwareentwicklung · Windows Vista · XML / XSL Tools : · WPF , MVVM · NHibernate · Agile Softwareentwicklung ( Scrum ) Kunde : Pharmatechnik GmbH & KG , Starnberg Funktion : Software-Entwickler Projekt : Warenwirtschaftssystem für Apotheken IXOS Implementierung GUI - , Worklflow - und Business-Komponenten für Subsysteme Warenlogistik , Kontaktverwaltung und PT-Desktop in einer n-tier Applikation für ein Warenwirtschaftssystem aus der Apotheken Branche .	Sg	Ind	Gerät	e	0
http://www.msa-auer.de/de/presse/pressemitteilungen/nid/263/page/32	865accc79ada401e209fc4cdf37ef5433684	1	Die Bulls können zurecht behaupten , ihren eigenen , unverkennbaren Stil gefunden zu haben . Hört sie euch an und urteilt selbst - die Songs werden euch packen , schütteln und komplett einvernehmen , wenn ihr es zulasst , soviel ist sicher uriblank Produkte Filteratemschutz Isolieratemschutz Kopfschutz Augenschutz Gehörschutz Absturzsicherung Schutzkleidung Tragbare Messgeräte Stationäre Gaswarntechnik Fluchtgeräte Service & Werkstattlösungen Wärmebildkameras Software Über uns Wie es anfing MSA weltweit MSA Historie Der Weg zu MSA AUER Karriere Jobs Neuigkeiten & Veranstaltungen News Messen & Ausstellungen Lehrgänge Kontakt & Service Kontakt per E-Mail Newsletter Zentraleuropa Kontakt Software Support MSA Service safetySCOPE Linkliste Service Portal Lexikon der Fachbegriffe FAQ - Häufig gestellte Fragen Presse Pressemitteilungen Fachbeiträge Fotoarchiv Pressekontakt Erweiterte Suche Sitemap PressePressemitteilungen Wichtige Kundeninformation 22.12.2006 Stellungnahme zur Information von EXAM : " Verhalten von Atemschutzgeräten unter extrem hohen Temperaturbedingungen " Unter Bezugnahme auf eine am 04.12.2006 veröffentlichte Information von EXAM zu einer Verwendungseinschränkung von Pressluftatmern nehmen wir als verantwortungsvoller Hersteller von Atemschutzgeräten folgendermaßen Stellung : Der Schutz des	Gerätträgers	und die Funktion des Pressluftatmers ist bestimmungsgemäß auch bei höheren thermischen Belastungen , wie Wärmestrahlung oder kurzzeitiger Beflammung gegeben . So wie in der EXAM Information genannt , sind Pressluftatmer formal nur von -30 ° C bis + 60 ° C zugelassen , geprüft werden die Geräte bzw. einzelne Gerätekomponenten jedoch während des Zulassungsverfahrens auch bei deutlich höheren Temperaturen : Flame-Engulfment-Test Der komplette Pressluftatmer einschließlich Atemluftflasche wird im so genannten Flame-Engulfment-Test für 15 Minuten im Heißluftofen unter Beatmung einer Umgebungstemperatur von 90 ° C ausgesetzt .	Sg	Ind	Gerät	e	0
http://www.antbo.de/kataloge/a0545/seite-8.html	f8bdccfac5e508aa8d436176588cd90a216a	435	Es soll Sachvertändige , Sachkundige , aber auch interessierte Laien ansprechen . [ CK 250811 Glocke , Glocken , Musikinstrument ] [ Handwerk ] ) Details ( Hrsg. Forschungs - und Lehrgemeinschaft / Walter Dexel : Holzgerät und Holzform Über die Bedeutung der Holzformen für die deutsche	Gerätkultur	des Mittelalters und der Neuzeit . Berlin-Dahlem , Ahnenerbe-Stiftung Verlag 1943 Illustr .	Sg	Ind	Gerät	e	0
http://bestboyz.de/htc-arbeitet-an-sensation-special-edition-mit-beats-audio-und-15ghz	fd1e53a3ad0430d906cb11b1b7c2d15cb8ff	56	Und ob ne GPU ne CPU etc. ist eh im Ansatz alles nur nen Mircoprozessor . Größe : Bildschirmgröße ,	Gerätgröße	wird sich immer mal wieder ändern aber vom Prinzip gilt . So Klein und leicht wie möglich so groß wie nötig .	Sg	Ind	Gerät	e	0
http://www.regelwerk-online.de/regelwerk/arbeitss/uvv/bgr/190a.htm	1e32812d96163a8118ce20612e78c0d63ef0	123	Gegen CMR-Stoffe und Zubereitungen ist nach dem Stand der Technik die höchstmögliche Filterklasse auszuwählen . Die hohe Schutzwirkung der aufgeführten Gerätetypen ist nur durch sorgfältige Beachtung aller für den Einsatz wichtigen Bedingungen zu erreichen , z.B. : Arbeitsmedizinische Vorsorgeuntersuchung , Ausbildung , Unterweisung und Übung , Anpassen des Gerätes , wobei insbesondere auf einwandfreien Dichtsitz zu achten ist , Zusammenwirken mit anderen persönlichen Schutzausrüstungen , Sicherung von	Gerätträgern	. Bei der Festlegung der Schutzwirkung in den Tabellen 1 bis 3 sind außer der in der jeweiligen Norm angegebenen höchstzulässigen Leckage weitere Einflussgrößen berücksichtigt worden , z.B. Atemwiderstand bei hohen Atemminutenvolumina , verbleibender Schutz bei Störung am Gerät .	Pl	Ind	Gerät	e	0
http://forum.digitalfernsehen.de/forum/digital-tv-ueber-kabel-dvb-c/248249-ci-modul-ab-3-5-10-bei-kabel-deutschland-6.html	e71e4ba2b61aa4715e5b4bd10672e704023a	89	Also Aufnahmen gehen mit einem Kabelreceiver mit PVR-Funktion mit CI Slot und CI+ Einschüben nicht bei allen Sendern . Vielleicht ist das von	Geräthersteller	zu Gerätehersteller auch verschieden ?? Nur so zur Info , falls einer plant sein neues CI+ Set evtl. in einem nicht zertifiziertem Receiver nutzen zu wollen .	Sg	Ind	Gerät	e	0
http://www.werbeblogger.de/2010/02/01/apple-ipad-werbung-im-splinternet	35cfe389a41d0d34335a83dea5bdadc697d3	2	Live verfolgen lassen Apples Keynotes sich ja schon lange nicht mehr , aber das Verfolgen des hashtagblank Twitterstreams letzten Mittwoch war interessanter und lustiger , als nur der Keynote selbst zu folgen ( daher ist dieser Beitrag auch twitterlinklastiger als gewöhnlich ) . Nachdem Apples neues Produkt nun unter dem Namen iPad der Öffentlichkeit vorgestellt wurde , können wir von den	Gerätspekulationen	vorrücken zu den Medienspekulationen . Einige , die sich von Apples zu enthüllendem Gadget technisch mehr versprochen hatten , sind enttäuscht von dessen " Specs " .	Pl	Ind	Gerät	e	0
http://www.purafil.de/produkte.html	872e3951d480ae599864859467a2abb290e6	17	Auf Grund des Medienaufbaus arbeitet das gesamte System mit niedrigeren Differenzdrücken . Für die verschiedenen Anforderungen stehen mehrere Anlagen und	Gerätstypen	in unterschiedlichsten Größen zur Auswahl . Die Medien werden in kostengünstiger , loser Form , verpackt in 9 ltr .-	Pl	Ind	Gerät	e	0
http://www.bochumer-bunker.de/normung_1942.html	5abd49bbde0c78f5f6dbc5ab5d3383754e39	23	Die oft gestellte Frage , warum die Wehrmacht Zeichnungsnormen schaffen müsse , ließ darauf schließen , daß die Angelegenheit nur vom Standpunkt einer Firma oder eines Konzerns aus betrachtet wurde . Für die	Gerätzeichnungen	mußte jedoch das berücksichtigt werden , was inzwischen eingetreten ist , nämlich , daß die Zeichnungen im Kriegsfalle nicht nur an eine Firma oder einige gleichgerichtete Werke ausgegeben werden , sondern an viele Betriebe , sogar an einen großen Teil der gesamten gewerblichen Wirtschaft . Auch kleine und kleinste Werkstätten werden zur Fertigung herangezogen .	Pl	Ind	Gerät	e	0
http://smartspa.de/faq.htm	a5e3116d09c69783c2799e870e08ba079c08	30	Unter - oder Überschreiten der Werte kann zu Schäden an Vinylbuchse , Pumpe und Abdichtungen führen 5. Installieren Sie den Spa nur auf Böden die wiederholter Wasser Aussetzung widerstehen können . Bei	Gerätausfall	, dem Ableiten und Auffüllen des Wassers sowie Plantschen kann Wasser verschüttet werden 6. Wird der Spa in einem mehrstöckigen Gebäude betrieben , so muss der Schutz der unteren Stockwerke gesichert sein 7. Installieren Sie den Spa nur auf Böden die dem Druck wiederstehen können . Bei Zweifel , konsultieren Sie bitte einen Architekten oder Ingenieur , um die Stärke des Bodens zu bestimmen ( siehe Spezifikationen ) 8. Betreiben Sie das System nie mit geöffnetem FI-Schutzschalter oder Pumpen / Heizungs-Box .	Sg	Ind	Gerät	e	0
http://www.kunststoff-institut.de/inhalte/beitraege.php	0f9b8fb7907337f43468a7b14d6f9dbb5313	189	Dabei wird während der Prüfung eine Prüfflüssigkeit oder - paste auf die Oberfläche aufgebracht . Zusätzlich stehen die	Geräterweiterungen	Fingernagelkratztest ( Automotive ) , Schuhsolentest und Fingerprinttest zur Verfügung . Weitere Informationen entnehmen Sie bitte der Download-Datei .	Pl	Ind	Gerät	e	0
http://floisdorf-info.de/aktuelle02-3.htm	6081d94a14afdb38e93b5ca00d123be389ca	95	Er dankte den Wehrleuten für die Erfüllung dieser Aufgabe , die nicht selten das eigene Leben des Helfers gefährden kann , wie das Beispiel vom 11. September in New York jedem wohl noch deutlich vor Augen steht . Nach dem Gottesdienst zog man dann zum der Pfarrkirche gegenüber liegendem	Geräthaus	und Prälat Schmitz übergab mit seinen Segenswünschen die neuerrichteten Gebäudeteile ihrer Bestimmung . Auch Bürgermeister Dr. Schick und Vertreter Wehren der Stadt Mechernich beglückwünschten die Floisdorfer Feuerwehr zur Fertigstellung des Gebäudes , das mit einem Zuschuß der Stadt von lediglich 59000 DM errichtet werden konnte .	Sg	Ind	Gerät	e	0
http://www.benefon.de/products/product_configurator	ad039d33cd48879c88c63d58fcdf7d2bcd68	1	was kostet das denn eintritt ? Erik 25.08.2011 04:14:2 3 4 € Neuer Kommentar Benefon Home Produktkatalog GSM+GPS Mobile Equipment Produktkonfigurator Produktkofigurator ( BeneWin Pro ) Der Benefon Produktkonfigurator ist eine Lösung , mit der Sie einfach ihre	Geräteinstellungen	oder die Konfiguration der Nachrichtenverschlüsselungen einstellen können . Sie können Telematik - und Benutzereinstellungen aller Benefon GSM + GPS-Geräte handhaben ( exklusive Trackbox und Trackkeeper , die eine andere Software benutzen ) .	Pl	Ind	Gerät	e	0
http://www.bochumer-bunker.de/normung_1942.html	5abd49bbde0c78f5f6dbc5ab5d3383754e39	54	In den Zeichnungen des Schiff - und Schiffsmaschinenbaues der Kriegsmarine werden jedoch die Toleranzen in Anlehnung an den Handelsschiffbau so eingetragen , daß die zusammengehörigen Teile gleiche Nennmaße haben . Von den an der	Gerätentwicklung	beteiligten Firmen wurden die Zeichnungen für Stirn - , Kegel - und Schneckenräder den Gebräuchen der Werkstätten entsprechend verschieden bemaßt . Dabei trat nicht selten der Fall ein , daß ein Werk keinesfalls auf ein Maß verzichten wollte , das eine andere Firma für nebensächlich " hielt .	Sg	Ind	Gerät	e	0
